city,week_start,mention_count,avg_sentiment,positive_ratio,negative_ratio,neutral_ratio,crowding_score,cost_score,safety_score,llm_verdict,run_id,computed_at
Paris,2026-03-30,15,0.4247,0.6,0.333,0.067,0.333,0.267,0.067,,20260404_174212,2026-04-04T17:45:10.286190+00:00
London,2026-03-30,14,0.5398,0.857,0.143,0.0,0.071,0.0,0.143,,20260404_174212,2026-04-04T17:45:10.286190+00:00
Rome,2026-03-30,15,0.5422,0.867,0.067,0.067,0.133,0.067,0.067,,20260404_174212,2026-04-04T17:45:10.286190+00:00
Barcelona,2026-03-30,13,0.3565,0.769,0.154,0.077,0.0,0.308,0.0,,20260404_174212,2026-04-04T17:45:10.286190+00:00
Lisbon,2026-03-30,16,0.5542,0.812,0.188,0.0,0.062,0.062,0.25,,20260404_174212,2026-04-04T17:45:10.286190+00:00
Amsterdam,2026-03-30,12,0.7238,0.917,0.083,0.0,0.25,0.083,0.0,,20260404_174212,2026-04-04T17:45:10.286190+00:00
Prague,2026-03-30,10,0.4432,0.8,0.1,0.1,0.0,0.0,0.3,,20260404_174212,2026-04-04T17:45:10.286190+00:00
Athens,2026-03-30,9,0.6012,0.778,0.111,0.111,0.333,0.444,0.0,,20260404_174212,2026-04-04T17:45:10.286190+00:00
