city,week_start,mention_count,crowding_score,cost_score,safety_score,run_id
Paris,2026-03-30,15,0.333,0.267,0.067,20260404_174212
London,2026-03-30,14,0.071,0.0,0.143,20260404_174212
Rome,2026-03-30,15,0.133,0.067,0.067,20260404_174212
Barcelona,2026-03-30,13,0.0,0.308,0.0,20260404_174212
Lisbon,2026-03-30,16,0.062,0.062,0.25,20260404_174212
Amsterdam,2026-03-30,12,0.25,0.083,0.0,20260404_174212
Prague,2026-03-30,10,0.0,0.0,0.3,20260404_174212
Athens,2026-03-30,9,0.333,0.444,0.0,20260404_174212
